parameter,mean,median,lcl,ucl
"IM[7,25,1]",0.936301666666667,1,0,1
"IM[7,26,1]",0.935325,1,0,1
"IM[7,27,1]",0.935043333333333,1,0,1
"IM[7,28,1]",0.935305,1,0,1
"IM[7,29,1]",0.935436666666667,1,0,1
"IM[7,3,1]",121.286648333333,122,86,155
"IM[7,30,1]",0.935706666666667,1,0,1
"IM[7,4,1]",165.088433333333,164,128,205
"IM[7,5,1]",72.3223483333333,72,55,91
"IM[7,6,1]",277.816373333333,278,233,321
"IM[7,7,1]",153.97034,154,139,169
"IM[7,8,1]",152.67199,153,135,170
"IM[7,9,1]",142.227171666667,142,125,160
"IM[8,1,1]",113.344371666667,113,85,145
"IM[8,10,1]",114.514716666667,114,98,133
"IM[8,11,1]",107.399941666667,107,90,125
"IM[8,12,1]",98.5221233333333,98,81,117
"IM[8,13,1]",88.6159966666667,88,71,107
"IM[8,14,1]",48.8051833333333,49,38,60
"IM[8,15,1]",28.82088,29,20,39
"IM[8,16,1]",15.923945,16,9,24
"IM[8,17,1]",8.23256833333333,8,4,15
"IM[8,18,1]",4.01031333333333,4,1,8
"IM[8,19,1]",1.88720166666667,2,1,5
"IM[8,2,1]",164.656405,164,129,203
"IM[8,20,1]",1.20037333333333,1,0,3
"IM[8,21,1]",1.03933333333333,1,0,2
"IM[8,22,1]",0.982511666666667,1,0,2
"IM[8,23,1]",0.963053333333333,1,0,1
"IM[8,24,1]",0.953211666666667,1,0,1
"IM[8,25,1]",0.949426666666667,1,0,1
"IM[8,26,1]",0.948535,1,0,1
"IM[8,27,1]",0.947738333333333,1,0,1
"IM[8,28,1]",0.947833333333333,1,0,1
"IM[8,29,1]",0.94831,1,0,1
"IM[8,3,1]",71.6967133333333,71,52,94
"IM[8,30,1]",0.947803333333333,1,0,1
"IM[8,4,1]",109.427715,110,75,142
"IM[8,5,1]",146.758025,146,111,186
"IM[8,6,1]",61.7379316666667,62,46,78
"IM[8,7,1]",256.202736666667,256,213,298
"IM[8,8,1]",127.312091666667,127,113,142
"IM[8,9,1]",126.440173333333,127,109,144
"IM[9,1,1]",252.011693333333,251,195,315
"IM[9,10,1]",108.123211666667,108,91,125
"IM[9,11,1]",95.5039416666667,95,80,114
"IM[9,12,1]",88.58517,88,72,106
"IM[9,13,1]",79.5714166666667,79,63,98
"IM[9,14,1]",70.0582816666667,70,54,89
"IM[9,15,1]",36.5821466666667,36,28,47
"IM[9,16,1]",20.9290533333333,21,14,29
"IM[9,17,1]",11.16638,11,6,18
"IM[9,18,1]",5.55980666666667,5,2,10
"IM[9,19,1]",2.62164833333333,3,1,6
"IM[9,2,1]",108.802055,108,82,139
"IM[9,20,1]",1.32482833333333,1,0,3
"IM[9,21,1]",1.12014166666667,1,0,3
"IM[9,22,1]",1.038455,1,0,2
"IM[9,23,1]",0.99001,1,0,1
"IM[9,24,1]",0.970538333333333,1,0,1
"IM[9,25,1]",0.96392,1,0,1
"IM[9,26,1]",0.961336666666667,1,0,1
"IM[9,27,1]",0.961713333333333,1,0,1
"IM[9,28,1]",0.96081,1,0,1
"IM[9,29,1]",0.960911666666667,1,0,1
"IM[9,3,1]",152.700883333333,152,118,190
"IM[9,30,1]",0.960658333333333,1,0,1
"IM[9,4,1]",64.93962,64,46,86
"IM[9,5,1]",100.89464,102,68,133
"IM[9,6,1]",133.454181666667,133,99,173
"IM[9,7,1]",54.3075966666667,54,40,69
"IM[9,8,1]",240.82294,241,199,282
"IM[9,9,1]",109.012876666667,109,95,123
p.ad[43],0.430940844376414,0.429126666456762,0.393450978087151,0.479454681364197
